iter	Passed	Remaining
0	467	467016
1	855	426957
2	1370	455331
3	1693	421672
4	1839	365981
5	2168	359245
6	2450	347622
7	2819	349591
8	3120	343582
9	3583	354736
10	3881	348965
11	4029	331755
12	4162	316045
13	4337	305476
14	4439	291546
15	4613	283731
16	4714	272612
17	4807	262264
18	4870	251447
19	4933	241746
20	5025	234292
21	5133	228225
22	5219	221709
23	5298	215479
24	5376	209691
25	5489	205646
26	5571	2027	5967	20717428	6240	208957
229	6498	210127330	6734	21050131	6946	210141
332	7559	221524333	7891	224222334	8349	230200335	8644	23148336	8876	231025
337	9017	228278338	9197	226642339	9284	222823440	9360	218942441	9467	215952442	9598	213623443	9742	211684444	9857	209189445	9974	206859
46	10088	204561
47	10193	202180
48	10294	199802
49	10411	197815
50	10498	195362
51	10628	193772
52	10723	191615
53	10846	190008
54	10971	188503
55	11065	186537
56	11172	184843
57	11281	183224
58	11383	181555
59	11469	179681
60	11557	177912
61	11657	176373
62	11739	174606
63	11823	172915
64	11898	171152
65	11976	169484
66	12060	167952
67	12138	166375
68	12222	164913
69	12320	163682
70	12401	162265
71	12492	161009
72	12585	159820
73	12678	158652
74	12762	157402
75	12861	156367
76	12944	155168
77	13029	154012
78	13119	152947
79	13199	151798
80	13288	150762
81	13379	149790
82	13468	148804
83	13570	147983
84	13659	147045
85	13744	146079
86	13826	145098
87	13934	144413
88	14032	143636
89	14103	142599
90	14193	141781
91	14283	140972
92	14403	140468
93	14492	139682
94	14593	139022
95	14699	138420
96	14783	137625
97	14861	136786
98	14941	135984
99	15031	135285
100	15117	134558
101	15204	133860
102	15322	133440
103	15470	133286
104	15549	132541
105	15640	131911
106	15710	131115
107	15799	130495
108	15876	129779
109	15973	129237
110	16048	128536
111	16132	127906
112	16206	127213
113	16319	126835
114	16399	126204
115	16478	125573
116	16569	125047
117	16670	124604
118	16775	124195
119	16860	123641
120	16931	122999
121	17009	122412
122	17100	121930
123	17189	121433
124	17291	121040
125	17395	120665
126	17480	120160
