brand,model,variant,locality,rto,fuel_type,transmission,seller_type,color,vehicle_age,odometer_reading,km_per_year,owner_count,certified,pincode,selling_price
renault,kwid,rxl,gandhi nagar,ka-50,petrol,manual,dealer,silver,8.0,49979.0,6247.4,1,1.0,560009.0,277302.0
renault,kiger,rxz mt,malleshwaram,ka-51,petrol,manual,dealer,unknown,5.0,52000.0,10400.0,1,1.0,560003.0,611000.0
renault,duster,85 ps rxs mt,agrahara main road balaji lake view layout,ka-50,diesel,manual,dealer,unknown,8.0,108059.0,13507.4,1,1.0,,645098.0
toyota,hyryder,g,unknown,ka-01,hybrid,automatic,unknown,unknown,3.0,64269.0,21423.0,1,,,1457000.0
renault,kwid,rxt amt,bannerghatta,ka-03,petrol,automatic,dealer,white,4.0,40500.0,10125.0,1,1.0,560076.0,450000.0
maruti suzuki,fronx,delta mt,peenya,ka-04,cng,manual,dealer,unknown,2.0,73024.0,36512.0,1,1.0,,752000.0
maruti suzuki,wagon r,vxi amt,unknown,unknown,petrol,automatic,unknown,unknown,10.0,146000.0,14600.0,1,,,361000.0
hyundai,eon,era,whitefield,ka-05,petrol,manual,dealer,silver,11.0,47500.0,4318.2,2,0.0,560066.0,218000.0
tata,altroz,xz plus i,bannerghatta,ka-51,petrol,manual,dealer,white,4.0,26000.0,6500.0,1,1.0,560076.0,723000.0
hyundai,eon,era +,kr puram,ka-53,petrol,manual,dealer,unknown,10.0,45531.0,4553.1,1,1.0,560036.0,260000.0
hyundai,grand i10,sportz,hebbal,ka-03,diesel,manual,dealer,grey,11.0,95517.0,8683.4,2,1.0,560064.0,265000.0
maruti suzuki,dzire,vxi amt,unknown,ka-05,petrol,automatic,dealer,unknown,8.0,54845.0,6855.6,1,,,560000.0
tata,bolt,xt revotron,hebbal,ka-05,petrol,manual,dealer,unknown,11.0,85243.0,7749.4,1,1.0,560023.0,261043.0
kia,seltos,htx ivt,hebbal,ka-02,petrol,automatic,dealer,black,7.0,38320.0,5474.3,1,1.0,560064.0,940800.0
renault,kwid,rxt amt,unknown,ka-09,petrol,automatic,dealer,unknown,9.0,97500.0,10833.3,1,0.0,,279000.0
mg,hector,sharp dct,hsr layout,ka-03,petrol,automatic,dealer,unknown,5.0,36987.0,7397.4,1,1.0,560102.0,1589000.0
maruti suzuki,alto k10,vxi,yeshwanthpur,ka-02,petrol,manual,dealer,silver,12.0,97003.0,8083.6,2,1.0,560022.0,208952.0
maruti suzuki,alto k10,vxi,whitefield,ka-19,petrol,manual,dealer,unknown,13.0,61698.0,4746.0,2,1.0,560066.0,203996.0
renault,kwid,climber,unknown,ka-05,petrol,manual,dealer,unknown,8.0,52500.0,6562.5,1,0.0,,318000.0
volkswagen,polo,trendline,hebbal,ka-11,petrol,manual,dealer,unknown,7.0,54266.0,7752.3,1,1.0,560064.0,482154.0
hyundai,eon,magna +,whitefield,ka-51,petrol,manual,dealer,grey,11.0,84500.0,7681.8,2,0.0,560066.0,258000.0
maruti suzuki,ertiga,zdi,hosur road,ka-01,diesel,manual,dealer,silver,13.0,104795.0,8061.2,1,0.0,560099.0,495000.0
kia,seltos,x line at,hebbal,ka-04,diesel,automatic,dealer,grey,3.0,33674.0,11224.7,1,1.0,560064.0,1583455.0
tata,nexon,xz plus (hs) dark edition,1st floor a115 1st floor,ka-53,petrol,manual,dealer,black,4.0,15190.0,3797.5,1,1.0,560066.0,950000.0
maruti suzuki,ciaz,zxi,hebbal,ka-01,petrol,manual,dealer,unknown,11.0,105449.0,9586.3,1,1.0,560023.0,417100.0
tata,altroz,xt,hebbal,ka-16,diesel,manual,dealer,grey,5.0,63691.0,12738.2,2,1.0,560023.0,529200.0
hyundai,creta,sx,thanisandra,ka-04,diesel,manual,dealer,unknown,11.0,86745.0,7885.9,2,1.0,,750000.0
hyundai,i20,asta,division,ka-53,petrol,manual,dealer,white,12.0,57382.0,4781.8,2,1.0,560066.0,390000.0
honda,wr-v,vx mt,mysore road,ka-03,petrol,manual,dealer,red,9.0,90000.0,10000.0,3,0.0,560039.0,468000.0
bmw,5 series,523i,unknown,ka-01,petrol,automatic,dealer,unknown,16.0,74349.0,4646.8,1,,,840000.0
maruti suzuki,celerio,vxi amt,bannerghatta,ka-19,petrol,automatic,dealer,grey,12.0,76000.0,6333.3,2,0.0,560076.0,316000.0
chevrolet,beat,lt,jamia masjid kh ranganatha colony,ka-03,petrol,manual,dealer,unknown,12.0,103719.0,8643.2,1,1.0,,160000.0
honda,amaze,v cvt,malleshwaram,ka-01,petrol,automatic,dealer,unknown,7.0,74500.0,10642.9,1,1.0,560003.0,584000.0
ford,freestyle,titanium ti-vct,whitefield,ka-01,petrol,manual,dealer,white,8.0,34500.0,4312.5,1,1.0,560066.0,504000.0
hyundai,i20,asta,hebbal,ka-07,diesel,manual,dealer,unknown,11.0,91403.0,8309.4,2,1.0,560064.0,465000.0
hyundai,creta,sx plus,yelahanka,ka-04,petrol,manual,dealer,white,10.0,35921.0,3592.1,2,1.0,560064.0,880000.0
maruti suzuki,alto k10,vxi,hebbal,ka-04,petrol,manual,dealer,unknown,9.0,68037.0,7559.7,3,1.0,560064.0,220000.0
tata,nexon,xz plus luxury sunroof,sri ram layout,ka-03,petrol,manual,dealer,unknown,3.0,25001.0,8333.7,1,1.0,,1020000.0
maruti suzuki,ciaz,vxi+at,hebbal,ka-05,petrol,automatic,dealer,white,10.0,105975.0,10597.5,2,1.0,560064.0,488100.0
volkswagen,vento,highline,whitefield,ka-03,petrol,manual,dealer,white,12.0,83000.0,6916.7,1,0.0,560066.0,422000.0
volkswagen,virtus,topline at,unknown,ka-35,petrol,automatic,dealer,unknown,2.0,38000.0,19000.0,1,,,1379000.0
renault,duster,rxs cvt,unknown,ka-01,petrol,automatic,unknown,unknown,8.0,98805.0,12350.6,1,,,555462.0
mg,astor,sharp ex mt,26 opposite avalahalli bda park,ka-05,petrol,manual,dealer,red,4.0,28793.0,7198.2,1,1.0,560066.0,1000000.0
kia,seltos,htx plus imt,gandhi nagar,ka-05,diesel,manual,dealer,unknown,3.0,78022.0,26007.3,1,1.0,560009.0,1405730.0
kia,seltos,gtx plus,koramangala,ka-03,petrol,manual,dealer,red,4.0,40260.0,10065.0,1,1.0,560034.0,1089400.0
maruti suzuki,alto,vxi,hebbal,ka-04,petrol,manual,dealer,red,9.0,101500.0,11277.8,1,0.0,562157.0,260000.0
renault,kiger,rxl mt,whitefield,ka-51,petrol,manual,dealer,unknown,5.0,37833.0,7566.6,1,1.0,560066.0,443508.0
