city,year,make,model,trim,odometer,fuel,trans,rto,price,segment,seller type,locality,pincode,age
Bangalore,2017.0,Hyundai,Grand i10,SPORTZ 1.2 KAPPA VTVT,23635.0,Petrol,Manual,KA-19,426000.0,Mass Market,Direct Seller,bellahalli,560064.0,9.0
Bangalore,2016.0,Renault,Kwid,RXT 1.0,47758.0,Petrol,Manual,KA-32,232000.0,Mass Market,Direct Seller,bellahalli,560009.0,10.0
Bangalore,2018.0,Maruti Suzuki,Swift,ZXI PLUS,58592.0,Petrol,Manual,KA-51,529000.0,Mass Market,Direct Seller,bellahalli,560066.0,8.0
Bangalore,2017.0,Hyundai,Grand i10,SPORTZ (O) 1.2 KAPPA VTVT,36753.0,Petrol,Manual,KA-20,442000.0,Mass Market,Direct Seller,bellahalli,560064.0,9.0
Bangalore,2016.0,Hyundai,Creta,SX PLUS 1.6 DIESEL,54426.0,Diesel,Manual,KA-53,791000.0,Mass Market,Direct Seller,bellahalli,560066.0,10.0
Bangalore,2016.0,Renault,Kwid,RXL,65081.0,Petrol,Manual,KA-22,260000.0,Mass Market,Direct Seller,bellahalli,560064.0,10.0
Bangalore,2019.0,Maruti Suzuki,Swift,VXI AMT,49035.0,Petrol,Auto,KA-07,529000.0,Mass Market,Direct Seller,bhoruka tech park,560066.0,7.0
Bangalore,2017.0,Hyundai,Eon,ERA +,55860.0,Petrol,Manual,KA-09,230000.0,Mass Market,Direct Seller,vega city mall,560066.0,9.0
Bangalore,2018.0,Tata,NEXON,XZ DIESEL,41691.0,Diesel,Manual,KA-53,577000.0,Mass Market,Direct Seller,bellahalli,560066.0,8.0
Bangalore,2018.0,Datsun,Redi Go,T (O),40640.0,Petrol,Manual,KA-14,218000.0,Mass Market,Direct Seller,vega city mall,560076.0,8.0
Bangalore,2019.0,Maruti Suzuki,Baleno,ZETA CVT PETROL 1.2,57289.0,Petrol,Auto,KA-53,560000.0,Mass Market,Direct Seller,bellahalli,560066.0,7.0
Bangalore,2014.0,Hyundai,Eon,ERA +,57877.0,Petrol,Manual,KA-20,178000.0,Mass Market,Direct Seller,bellahalli,560064.0,12.0
Bangalore,2017.0,Tata,NEXON,XZ PLUS PETROL,47307.0,Petrol,Manual,KA-41,589000.0,Mass Market,Direct Seller,bellahalli,560066.0,9.0
Bangalore,2024.0,Maruti Suzuki,Swift,ZXi Plus Dual Tone AMT,25054.0,Petrol,Auto,KA-05,736000.0,Mass Market,Direct Seller,bellahalli,560066.0,2.0
Bangalore,2020.0,Kia,SELTOS,HTE 1.5 DIESEL,108814.0,Diesel,Manual,KA-03,725000.0,Mass Market,Direct Seller,bellahalli,560066.0,6.0
Bangalore,2020.0,Ford,Ecosport,TREND 1.5L PETROL,48075.0,Petrol,Manual,KA-01,640000.0,Mass Market,Direct Seller,bellahalli,560066.0,6.0
Bangalore,2014.0,Maruti Suzuki,Alto K10,VXI,66115.0,Petrol,Manual,KA-19,201000.0,Mass Market,Direct Seller,bellahalli,560064.0,12.0
Bangalore,2022.0,Renault,Kwid,CLIMBER 1.0 AMT Dual Tone,10758.0,Petrol,Auto,KA-01,430000.0,Mass Market,Direct Seller,bellahalli,560066.0,4.0
Bangalore,2020.0,Ford,Ecosport,AMBIENTE 1.5L PETROL,51929.0,Petrol,Manual,KA-19,571000.0,Mass Market,Direct Seller,bellahalli,560064.0,6.0
Bangalore,2015.0,Maruti Suzuki,Swift,LXI,113654.0,Petrol,Manual,KA-22,379000.0,Mass Market,Direct Seller,bellahalli,560064.0,11.0
Bangalore,2019.0,Maruti Suzuki,Swift,VXI AMT,49035.0,Petrol,Automatic,KA-07,529000.0,Mass Market,Direct Seller,bhoruka tech park,560066.0,7.0
Bangalore,2019.0,Maruti Suzuki,Baleno,ZETA CVT PETROL 1.2,57289.0,Petrol,Automatic,KA-53,560000.0,Mass Market,Direct Seller,bellahalli,560066.0,7.0
Bangalore,2024.0,Maruti Suzuki,Swift,ZXi Plus Dual Tone AMT,25054.0,Petrol,Automatic,KA-05,736000.0,Mass Market,Direct Seller,bellahalli,560066.0,2.0
Bangalore,2022.0,Renault,Kwid,CLIMBER 1.0 AMT Dual Tone,10758.0,Petrol,Automatic,KA-01,430000.0,Mass Market,Direct Seller,bellahalli,560066.0,4.0
Bangalore,2017.0,Renault,Kwid,RXT 1.0,53430.0,Petrol,Manual,KA-01,265000.0,Mass Market,Direct Seller,bellahalli,560066.0,9.0
Bangalore,2021.0,Tata,ALTROZ,XZ PLUS PETROL DARK EDITION,65942.0,Petrol,Manual,KA-22,545000.0,Mass Market,Direct Seller,bellahalli,560064.0,5.0
Bangalore,2015.0,Maruti Suzuki,Alto K10,VXI,34701.0,Petrol,Manual,KA-51,247000.0,Mass Market,Direct Seller,bellahalli,560066.0,11.0
Bangalore,2017.0,Maruti Suzuki,Baleno,ZETA PETROL 1.2,61040.0,Petrol,Manual,KA-03,536000.0,Mass Market,Direct Seller,bellahalli,560066.0,9.0
Bangalore,2018.0,Honda,City,1.5L I-VTEC V MT,59248.0,Petrol,Manual,KA-01,598000.0,Mass Market,Direct Seller,bellahalli,560066.0,8.0
Bangalore,2018.0,Hyundai,Elite i20,ASTA 1.4 CRDI,89392.0,Diesel,Manual,KA-53,519000.0,Mass Market,Direct Seller,bellahalli,560066.0,8.0
Bangalore,2022.0,Maruti Suzuki,Celerio,ZXI AMT,60417.0,Petrol,Automatic,KA-50,490000.0,Mass Market,Direct Seller,bellahalli,560064.0,4.0
Bangalore,2018.0,Honda,WR-V,1.5L I-DTEC VX MT,70050.0,Diesel,Manual,KA-34,537000.0,Mass Market,Direct Seller,bellahalli,560064.0,8.0
Bangalore,2021.0,Hyundai,VENUE,SX 1.0 TURBO IMT,51739.0,Petrol,Manual,KA-51,714000.0,Mass Market,Direct Seller,bellahalli,560066.0,5.0
Bangalore,2015.0,Renault,Duster,85 PS RXL DIESEL,125755.0,Diesel,Manual,KA-09,344000.0,Mass Market,Direct Seller,vega city mall,560066.0,11.0
Bangalore,2020.0,Volkswagen,Vento,HIGHLINE 1.0L TSI,72576.0,Petrol,Manual,KA-04,670000.0,Mass Market,Direct Seller,bellahalli,560066.0,6.0
Bangalore,2022.0,Mahindra,XUV300,W8(O) TURBO GDI,62462.0,Petrol,Manual,KA-24,960000.0,Mass Market,Direct Seller,bellahalli,560064.0,4.0
Bangalore,2023.0,Kia,SONET,GTX PLUS 1.5 IMT,122125.0,Diesel,Manual,KA-09,913000.0,Mass Market,Direct Seller,vega city mall,560066.0,3.0
Bangalore,2023.0,Toyota,URBAN CRUISER HYRYDER,V NEO DRIVE,33241.0,Petrol,Manual,KA-04,1290000.0,Mass Market,Direct Seller,bellahalli,560066.0,3.0
Bangalore,2021.0,Skoda,Octavia,L&K 2.0 AT,73572.0,Petrol,Automatic,KA-25,1870000.0,Mass Market,Direct Seller,bellahalli,560066.0,5.0
Bangalore,2018.0,Renault,Kwid,RXL,74196.0,Petrol,Manual,KA-09,278000.0,Mass Market,Direct Seller,vega city mall,560066.0,8.0
