city,year,make,model,trim,odometer,fuel,trans,rto,price,segment,seller_type,locality,pincode,age,avg_km_per_year,usage_category,price_per_year,locality_density,make_model_trim_combo,popularity_score,make_model_year_avg_price,price_deviation_pct
bangalore,2017.0,hyundai,grand i10,sportz 1.2 kappa vtvt,23635.0,petrol,manual,ka-19,426000.0,mass market,direct seller,bellahalli,560064.0,9.0,2626.11,low,47333.33,15091,hyundai_grand i10_sportz 1.2 kappa vtvt,1056,436870.7,-2.49
bangalore,2016.0,renault,kwid,rxt 1.0,47758.0,petrol,manual,ka-32,232000.0,mass market,direct seller,bellahalli,560009.0,10.0,4775.8,low,23200.0,15091,renault_kwid_rxt 1.0,1138,256025.95,-9.38
bangalore,2018.0,maruti suzuki,swift,zxi plus,58592.0,petrol,manual,ka-51,529000.0,mass market,direct seller,bellahalli,560066.0,8.0,7324.0,low,66125.0,15091,maruti suzuki_swift_zxi plus,1070,530852.27,-0.35
bangalore,2017.0,hyundai,grand i10,sportz (o) 1.2 kappa vtvt,36753.0,petrol,manual,ka-20,442000.0,mass market,direct seller,bellahalli,560064.0,9.0,4083.67,low,49111.11,15091,hyundai_grand i10_sportz (o) 1.2 kappa vtvt,1056,436870.7,1.17
bangalore,2016.0,hyundai,creta,sx plus 1.6 diesel,54426.0,diesel,manual,ka-53,791000.0,mass market,direct seller,bellahalli,560066.0,10.0,5442.6,low,79100.0,15091,hyundai_creta_sx plus 1.6 diesel,1190,737901.87,7.2
bangalore,2016.0,renault,kwid,rxl,65081.0,petrol,manual,ka-22,260000.0,mass market,direct seller,bellahalli,560064.0,10.0,6508.1,low,26000.0,15091,renault_kwid_rxl,1138,256025.95,1.55
bangalore,2019.0,maruti suzuki,swift,vxi amt,49035.0,petrol,automatic,ka-07,529000.0,mass market,direct seller,bhoruka tech park,560066.0,7.0,7005.0,low,75571.43,1207,maruti suzuki_swift_vxi amt,1070,554750.35,-4.64
bangalore,2017.0,hyundai,eon,era +,55860.0,petrol,manual,ka-09,230000.0,mass market,direct seller,vega city mall,560066.0,9.0,6206.67,low,25555.56,1492,hyundai_eon_era +,417,287899.03,-20.11
bangalore,2018.0,tata,nexon,xz diesel,41691.0,diesel,manual,ka-53,577000.0,mass market,direct seller,bellahalli,560066.0,8.0,5211.38,low,72125.0,15091,tata_nexon_xz diesel,764,560070.57,3.02
bangalore,2018.0,datsun,redi go,t (o),40640.0,petrol,manual,ka-14,218000.0,mass market,direct seller,vega city mall,560076.0,8.0,5080.0,low,27250.0,1492,datsun_redi go_t (o),79,215082.73,1.36
bangalore,2019.0,maruti suzuki,baleno,zeta cvt petrol 1.2,57289.0,petrol,automatic,ka-53,560000.0,mass market,direct seller,bellahalli,560066.0,7.0,8184.14,medium,80000.0,15091,maruti suzuki_baleno_zeta cvt petrol 1.2,1056,579595.74,-3.38
bangalore,2014.0,hyundai,eon,era +,57877.0,petrol,manual,ka-20,178000.0,mass market,direct seller,bellahalli,560064.0,12.0,4823.08,low,14833.33,15091,hyundai_eon_era +,417,213846.94,-16.76
bangalore,2017.0,tata,nexon,xz plus petrol,47307.0,petrol,manual,ka-41,589000.0,mass market,direct seller,bellahalli,560066.0,9.0,5256.33,low,65444.44,15091,tata_nexon_xz plus petrol,764,580466.67,1.47
bangalore,2024.0,maruti suzuki,swift,zxi plus dual tone amt,25054.0,petrol,automatic,ka-05,736000.0,mass market,direct seller,bellahalli,560066.0,2.0,12527.0,medium,368000.0,15091,maruti suzuki_swift_zxi plus dual tone amt,1070,745192.79,-1.23
bangalore,2020.0,kia,seltos,hte 1.5 diesel,108814.0,diesel,manual,ka-03,725000.0,mass market,direct seller,bellahalli,560066.0,6.0,18135.67,high,120833.33,15091,kia_seltos_hte 1.5 diesel,628,984221.55,-26.34
bangalore,2020.0,ford,ecosport,trend 1.5l petrol,48075.0,petrol,manual,ka-01,640000.0,mass market,direct seller,bellahalli,560066.0,6.0,8012.5,medium,106666.67,15091,ford_ecosport_trend 1.5l petrol,540,682310.87,-6.2
bangalore,2014.0,maruti suzuki,alto k10,vxi,66115.0,petrol,manual,ka-19,201000.0,mass market,direct seller,bellahalli,560064.0,12.0,5509.58,low,16750.0,15091,maruti suzuki_alto k10_vxi,655,217985.55,-7.79
bangalore,2022.0,renault,kwid,climber 1.0 amt dual tone,10758.0,petrol,automatic,ka-01,430000.0,mass market,direct seller,bellahalli,560066.0,4.0,2689.5,low,107500.0,15091,renault_kwid_climber 1.0 amt dual tone,1138,436847.34,-1.57
bangalore,2020.0,ford,ecosport,ambiente 1.5l petrol,51929.0,petrol,manual,ka-19,571000.0,mass market,direct seller,bellahalli,560064.0,6.0,8654.83,medium,95166.67,15091,ford_ecosport_ambiente 1.5l petrol,540,682310.87,-16.31
bangalore,2015.0,maruti suzuki,swift,lxi,113654.0,petrol,manual,ka-22,379000.0,mass market,direct seller,bellahalli,560064.0,11.0,10332.18,medium,34454.55,15091,maruti suzuki_swift_lxi,1070,421783.4,-10.14
bangalore,2017.0,renault,kwid,rxt 1.0,53430.0,petrol,manual,ka-01,265000.0,mass market,direct seller,bellahalli,560066.0,9.0,5936.67,low,29444.44,15091,renault_kwid_rxt 1.0,1138,282410.95,-6.17
bangalore,2021.0,tata,altroz,xz plus petrol dark edition,65942.0,petrol,manual,ka-22,545000.0,mass market,direct seller,bellahalli,560064.0,5.0,13188.4,medium,109000.0,15091,tata_altroz_xz plus petrol dark edition,158,536138.81,1.65
bangalore,2015.0,maruti suzuki,alto k10,vxi,34701.0,petrol,manual,ka-51,247000.0,mass market,direct seller,bellahalli,560066.0,11.0,3154.64,low,22454.55,15091,maruti suzuki_alto k10_vxi,655,263027.73,-6.09
bangalore,2017.0,maruti suzuki,baleno,zeta petrol 1.2,61040.0,petrol,manual,ka-03,536000.0,mass market,direct seller,bellahalli,560066.0,9.0,6782.22,low,59555.56,15091,maruti suzuki_baleno_zeta petrol 1.2,1056,514334.32,4.21
bangalore,2018.0,honda,city,1.5l i-vtec v mt,59248.0,petrol,manual,ka-01,598000.0,mass market,direct seller,bellahalli,560066.0,8.0,7406.0,low,74750.0,15091,honda_city_1.5l i-vtec v mt,966,666117.92,-10.23
bangalore,2018.0,hyundai,elite i20,asta 1.4 crdi,89392.0,diesel,manual,ka-53,519000.0,mass market,direct seller,bellahalli,560066.0,8.0,11174.0,medium,64875.0,15091,hyundai_elite i20_asta 1.4 crdi,866,556265.69,-6.7
bangalore,2022.0,maruti suzuki,celerio,zxi amt,60417.0,petrol,automatic,ka-50,490000.0,mass market,direct seller,bellahalli,560064.0,4.0,15104.25,high,122500.0,15091,maruti suzuki_celerio_zxi amt,692,514412.27,-4.75
bangalore,2018.0,honda,wr-v,1.5l i-dtec vx mt,70050.0,diesel,manual,ka-34,537000.0,mass market,direct seller,bellahalli,560064.0,8.0,8756.25,medium,67125.0,15091,honda_wr-v_1.5l i-dtec vx mt,117,565050.09,-4.96
bangalore,2021.0,hyundai,venue,sx 1.0 turbo imt,51739.0,petrol,manual,ka-51,714000.0,mass market,direct seller,bellahalli,560066.0,5.0,10347.8,medium,142800.0,15091,hyundai_venue_sx 1.0 turbo imt,448,765074.01,-6.68
bangalore,2015.0,renault,duster,85 ps rxl diesel,125755.0,diesel,manual,ka-09,344000.0,mass market,direct seller,vega city mall,560066.0,11.0,11432.27,medium,31272.73,1492,renault_duster_85 ps rxl diesel,585,411235.16,-16.35
bangalore,2020.0,volkswagen,vento,highline 1.0l tsi,72576.0,petrol,manual,ka-04,670000.0,mass market,direct seller,bellahalli,560066.0,6.0,12096.0,medium,111666.67,15091,volkswagen_vento_highline 1.0l tsi,341,758613.04,-11.68
bangalore,2022.0,mahindra,xuv300,w8(o) turbo gdi,62462.0,petrol,manual,ka-24,960000.0,mass market,direct seller,bellahalli,560064.0,4.0,15615.5,high,240000.0,15091,mahindra_xuv300_w8(o) turbo gdi,333,876586.71,9.52
bangalore,2023.0,kia,sonet,gtx plus 1.5 imt,122125.0,diesel,manual,ka-09,913000.0,mass market,direct seller,vega city mall,560066.0,3.0,40708.33,very high,304333.33,1492,kia_sonet_gtx plus 1.5 imt,461,960886.03,-4.98
bangalore,2023.0,toyota,urban cruiser hyryder,v neo drive,33241.0,petrol,manual,ka-04,1290000.0,mass market,direct seller,bellahalli,560066.0,3.0,11080.33,medium,430000.0,15091,toyota_urban cruiser hyryder_v neo drive,58,1319873.03,-2.26
bangalore,2021.0,skoda,octavia,l&k 2.0 at,73572.0,petrol,automatic,ka-25,1870000.0,mass market,direct seller,bellahalli,560066.0,5.0,14714.4,medium,374000.0,15091,skoda_octavia_l&k 2.0 at,83,1852000.0,0.97
bangalore,2018.0,renault,kwid,rxl,74196.0,petrol,manual,ka-09,278000.0,mass market,direct seller,vega city mall,560066.0,8.0,9274.5,medium,34750.0,1492,renault_kwid_rxl,1138,299285.16,-7.11
bangalore,2018.0,volkswagen,polo,highline plus 1.0 16 alloy,52566.0,petrol,manual,ka-09,591000.0,mass market,direct seller,vega city mall,560066.0,8.0,6570.75,low,73875.0,1492,volkswagen_polo_highline plus 1.0 16 alloy,580,622456.81,-5.05
bangalore,2022.0,skoda,kushaq,active 1.0l tsi mt,75793.0,petrol,manual,ka-02,755000.0,mass market,direct seller,bellahalli,560066.0,4.0,18948.25,high,188750.0,15091,skoda_kushaq_active 1.0l tsi mt,89,1010676.0,-25.3
bangalore,2020.0,mg,hector,sharp 1.5 dct petrol,41095.0,petrol,automatic,ka-05,986000.0,mass market,direct seller,bellahalli,560066.0,6.0,6849.17,low,164333.33,15091,mg_hector_sharp 1.5 dct petrol,222,1009854.11,-2.36
bangalore,2019.0,datsun,redi go,s 1.0,44287.0,petrol,manual,ka-01,229000.0,mass market,direct seller,bellahalli,560066.0,7.0,6326.71,low,32714.29,15091,datsun_redi go_s 1.0,79,260006.82,-11.93
bangalore,2015.0,hyundai,grand i10,asta at 1.2 kappa vtvt,70883.0,petrol,automatic,ka-22,385000.0,mass market,direct seller,bellahalli,560064.0,11.0,6443.91,low,35000.0,15091,hyundai_grand i10_asta at 1.2 kappa vtvt,1056,365538.18,5.32
bangalore,2017.0,hyundai,creta,sx plus at 1.6 petrol,94137.0,petrol,automatic,ka-03,730000.0,mass market,direct seller,bellahalli,560066.0,9.0,10459.67,medium,81111.11,15091,hyundai_creta_sx plus at 1.6 petrol,1190,745794.5,-2.12
bangalore,2021.0,maruti suzuki,baleno,delta petrol 1.2,49791.0,petrol,manual,ka-66,577000.0,mass market,direct seller,bellahalli,560064.0,5.0,9958.2,medium,115400.0,15091,maruti suzuki_baleno_delta petrol 1.2,1056,633180.96,-8.87
bangalore,2017.0,hyundai,i20 active,1.2 sx,67856.0,petrol,manual,ka-04,511000.0,mass market,direct seller,bellahalli,560066.0,9.0,7539.56,low,56777.78,15091,hyundai_i20 active_1.2 sx,123,535179.72,-4.52
bangalore,2021.0,hyundai,venue,sx 1.0 (o) turbo imt,69111.0,petrol,manual,ka-19,749000.0,mass market,direct seller,bellahalli,560064.0,5.0,13822.2,medium,149800.0,15091,hyundai_venue_sx 1.0 (o) turbo imt,448,765074.01,-2.1
bangalore,2021.0,renault,kwid,rxl 1.0 amt,30112.0,petrol,automatic,ka-09,275000.0,mass market,direct seller,vega city mall,560066.0,5.0,6022.4,low,55000.0,1492,renault_kwid_rxl 1.0 amt,1138,386097.05,-28.77
bangalore,2018.0,maruti suzuki,baleno,zeta petrol 1.2,77309.0,petrol,manual,ka-09,515000.0,mass market,direct seller,vega city mall,560066.0,8.0,9663.62,medium,64375.0,1492,maruti suzuki_baleno_zeta petrol 1.2,1056,548877.24,-6.17
bangalore,2016.0,maruti suzuki,swift,zxi,38175.0,petrol,manual,ka-35,456000.0,mass market,direct seller,bellahalli,560064.0,10.0,3817.5,low,45600.0,15091,maruti suzuki_swift_zxi,1070,469594.59,-2.89
