brand,model,variant,locality,rto,fuel_type,transmission,seller_type,color,vehicle_age,odometer_reading,km_per_year,owner_count,certified,pincode,selling_price
tata,nexon,xz plus,whitefield,ka-03,petrol,manual,dealer,red,6.0,30500.0,5083.3,1,1.0,560066.0,759000.0
renault,triber,rxz easy-r amt dual tone,whitefield,ka-04,petrol,automatic,dealer,beige,3.0,26000.0,8666.7,2,1.0,560066.0,656000.0
tata,nexon,xza plus (s),whitefield,ka-01,petrol,automatic,dealer,grey,6.0,51500.0,8583.3,1,1.0,560066.0,787000.0
renault,kwid,climber 1.0 (o),whitefield,ka-53,petrol,manual,dealer,blue,5.0,39000.0,7800.0,1,1.0,560066.0,404000.0
tata,zest,xms petrol,malleshwaram,ka-01,petrol,manual,dealer,red,10.0,51500.0,5150.0,2,0.0,560003.0,360000.0
hyundai,grand i10,asta at 1.2 kappa vtvt,malleshwaram,ka-01,petrol,automatic,dealer,red,12.0,76000.0,6333.3,1,0.0,560003.0,378000.0
tata,tiago,revotron xz,whitefield,ka-51,petrol,manual,dealer,orange,10.0,85000.0,8500.0,2,0.0,560066.0,336000.0
renault,kwid,climber 1.0 amt opt,whitefield,ka-41,petrol,automatic,dealer,blue,7.0,41000.0,5857.1,1,0.0,560066.0,319000.0
tata,nexon,pure 1.2 revotron petrol 6mt,whitefield,ka-05,petrol,manual,dealer,grey,2.0,39000.0,19500.0,1,0.0,560066.0,758000.0
hyundai,grand i10,sportz 1.2 kappa vtvt,whitefield,ka-51,petrol,manual,dealer,grey,12.0,94500.0,7875.0,2,0.0,560066.0,318000.0
maruti suzuki,eeco,5 str with a/c+htr,hebbal,ka-22,petrol,manual,dealer,grey,6.0,57000.0,9500.0,1,0.0,560064.0,393000.0
renault,kwid,rxt,malleshwaram,ka-36,petrol,manual,dealer,brown,10.0,78000.0,7800.0,2,0.0,560003.0,260000.0
hyundai,grand i10 nios,sportz amt 1.2 kappa vtvt,whitefield,ka-53,petrol,automatic,dealer,blue,3.0,6500.0,2166.7,1,1.0,560066.0,685000.0
mg,hector,sharp 2.0 diesel,hebbal,ka-19,diesel,manual,dealer,white,6.0,125770.0,20961.7,1,1.0,560064.0,880000.0
honda,city,1.5l i-vtec zx,hebbal,ka-01,petrol,manual,dealer,white,3.0,40234.0,13411.3,2,1.0,560064.0,947195.0
tata,zest,xms 90ps diesel,hebbal,ka-03,diesel,manual,dealer,red,11.0,64888.0,5898.9,2,1.0,560064.0,291000.0
mahindra,xuv300,w8 (o) 1.2 petrol,whitefield,ka-51,petrol,manual,dealer,red,4.0,20984.0,5246.0,1,1.0,560066.0,936250.0
hyundai,grand i10 nios,sportz 1.2 kappa vtvt,whitefield,ka-53,petrol,manual,dealer,red,4.0,27380.0,6845.0,1,1.0,560066.0,567100.0
maruti suzuki,swift,vxi,no 36 3 1 2nd floor 19th main road jc nagar kurubarahalli,ka-02,petrol,manual,dealer,white,6.0,37646.0,6274.3,1,1.0,560066.0,620000.0
toyota,glanza,g,kengeri,ka-41,petrol,manual,dealer,red,6.0,26350.0,4391.7,1,1.0,560060.0,700000.0
hyundai,i20,asta 1.2,khb colony hoskote,ka-53,petrol,manual,dealer,silver,14.0,95144.0,6796.0,1,1.0,560066.0,325000.0
hyundai,elite i20,asta 1.2 dual tone,rajajinagar,ka-02,petrol,manual,dealer,white,8.0,49179.0,6147.4,1,1.0,560010.0,590000.0
renault,kwid,rxt 1.0 amt (o),jp nagar,ka-19,petrol,automatic,dealer,red,7.0,30682.0,4383.1,2,1.0,560078.0,350000.0
hyundai,grand i10,sportz 1.2 kappa vtvt,banashankari,ka-01,petrol,manual,dealer,blue,11.0,81000.0,7363.6,2,1.0,560070.0,345000.0
kia,carens,prestige 1.5 turbo petrol imt 7 str,whitefield,ka-05,petrol,manual,dealer,grey,3.0,33299.0,11099.7,1,1.0,560066.0,1040000.0
mg,hector,sharp 1.5 dct petrol,sh 35 sarjapura,ka-02,petrol,automatic,dealer,silver,6.0,59992.0,9998.7,2,1.0,560066.0,1300000.0
maruti suzuki,swift,zxi,kengeri,ka-41,petrol,manual,dealer,red,14.0,30644.0,2188.9,1,1.0,560060.0,442000.0
