brand,model,variant,city,locality,rto,segment_class,fuel_type,transmission,seller_type,vehicle_age,odometer_reading,km_per_year,brand_tier,age_km_interaction,vehicle_health_score,is_high_mileage,locality_tier,usage_category_num,locality_density_norm,popularity_score_log,selling_price,year,pincode
hyundai,grand i10,sportz 1.2 kappa vtvt,bangalore,bellahalli,ka-19,mid,petrol,manual,unknown,9.0,23635.0,2626.1,2,212715.0,70.6,0,1,0,1.0,6.9632,426000.0,2017,560064.0
renault,kwid,rxt 1.0,bangalore,bellahalli,ka-32,economy,petrol,manual,unknown,10.0,47758.0,4775.8,1,477580.0,65.2,0,1,0,1.0,7.0379,232000.0,2016,560009.0
maruti suzuki,swift,zxi plus,bangalore,bellahalli,ka-51,economy,petrol,manual,unknown,8.0,58592.0,7324.0,1,468736.0,70.1,0,1,0,1.0,6.9763,529000.0,2018,560066.0
hyundai,grand i10,sportz (o) 1.2 kappa vtvt,bangalore,bellahalli,ka-20,mid,petrol,manual,unknown,9.0,36753.0,4083.7,2,330777.0,69.3,0,1,0,1.0,6.9632,442000.0,2017,560064.0
hyundai,creta,sx plus 1.6 diesel,bangalore,bellahalli,ka-53,mid,diesel,manual,unknown,10.0,54426.0,5442.6,2,544260.0,64.6,0,1,0,1.0,7.0825,791000.0,2016,560066.0
renault,kwid,rxl,bangalore,bellahalli,ka-22,economy,petrol,manual,unknown,10.0,65081.0,6508.1,1,650810.0,63.5,0,1,0,1.0,7.0379,260000.0,2016,560064.0
maruti suzuki,swift,vxi amt,bangalore,bhoruka tech park,ka-07,economy,petrol,automatic,unknown,7.0,49035.0,7005.0,1,343245.0,74.1,0,2,0,0.08,6.9763,529000.0,2019,560066.0
hyundai,eon,era +,bangalore,vega city mall,ka-09,mid,petrol,manual,unknown,9.0,55860.0,6206.7,2,502740.0,67.4,0,1,0,0.0989,6.0355,230000.0,2017,560066.0
tata,nexon,xz diesel,bangalore,bellahalli,ka-53,economy,diesel,manual,unknown,8.0,41691.0,5211.4,1,333528.0,71.8,0,1,0,1.0,6.6399,577000.0,2018,560066.0
datsun,redi go,t (o),bangalore,vega city mall,ka-14,budget,petrol,manual,unknown,8.0,40640.0,5080.0,0,325120.0,71.9,0,1,0,0.0989,4.382,218000.0,2018,560076.0
maruti suzuki,baleno,zeta cvt petrol 1.2,bangalore,bellahalli,ka-53,economy,petrol,automatic,unknown,7.0,57289.0,8184.1,1,401023.0,73.3,0,1,1,1.0,6.9632,560000.0,2019,560066.0
hyundai,eon,era +,bangalore,bellahalli,ka-20,mid,petrol,manual,unknown,12.0,57877.0,4823.1,2,694524.0,58.2,0,1,0,1.0,6.0355,178000.0,2014,560064.0
tata,nexon,xz plus petrol,bangalore,bellahalli,ka-41,economy,petrol,manual,unknown,9.0,47307.0,5256.3,1,425763.0,68.3,0,1,0,1.0,6.6399,589000.0,2017,560066.0
maruti suzuki,swift,zxi plus dual tone amt,bangalore,bellahalli,ka-05,economy,petrol,automatic,unknown,2.0,25054.0,12527.0,1,50108.0,91.5,0,1,1,1.0,6.9763,736000.0,2024,560066.0
kia,seltos,hte 1.5 diesel,bangalore,bellahalli,ka-03,mid,diesel,manual,unknown,6.0,108814.0,18135.7,2,652884.0,71.1,1,1,2,1.0,6.4441,725000.0,2020,560066.0
ford,ecosport,trend 1.5l petrol,bangalore,bellahalli,ka-01,mid,petrol,manual,unknown,6.0,48075.0,8012.5,2,288450.0,77.2,0,1,1,1.0,6.2934,640000.0,2020,560066.0
maruti suzuki,alto k10,vxi,bangalore,bellahalli,ka-19,economy,petrol,manual,unknown,12.0,66115.0,5509.6,1,793380.0,57.4,0,1,0,1.0,6.4862,201000.0,2014,560064.0
renault,kwid,climber 1.0 amt dual tone,bangalore,bellahalli,ka-01,economy,petrol,automatic,unknown,4.0,10758.0,2689.5,1,43032.0,86.9,0,1,0,1.0,7.0379,430000.0,2022,560066.0
ford,ecosport,ambiente 1.5l petrol,bangalore,bellahalli,ka-19,mid,petrol,manual,unknown,6.0,51929.0,8654.8,2,311574.0,76.8,0,1,1,1.0,6.2934,571000.0,2020,560064.0
maruti suzuki,swift,lxi,bangalore,bellahalli,ka-22,economy,petrol,manual,unknown,11.0,113654.0,10332.2,1,1250194.0,55.6,0,1,1,1.0,6.9763,379000.0,2015,560064.0
renault,kwid,rxt 1.0,bangalore,bellahalli,ka-01,economy,petrol,manual,unknown,9.0,53430.0,5936.7,1,480870.0,67.7,0,1,0,1.0,7.0379,265000.0,2017,560066.0
tata,altroz,xz plus petrol dark edition,bangalore,bellahalli,ka-22,economy,petrol,manual,unknown,5.0,65942.0,13188.4,1,329710.0,78.4,0,1,1,1.0,5.0689,545000.0,2021,560064.0
maruti suzuki,alto k10,vxi,bangalore,bellahalli,ka-51,economy,petrol,manual,unknown,11.0,34701.0,3154.6,1,381711.0,63.5,0,1,0,1.0,6.4862,247000.0,2015,560066.0
maruti suzuki,baleno,zeta petrol 1.2,bangalore,bellahalli,ka-03,economy,petrol,manual,unknown,9.0,61040.0,6782.2,1,549360.0,66.9,0,1,0,1.0,6.9632,536000.0,2017,560066.0
honda,city,1.5l i-vtec v mt,bangalore,bellahalli,ka-01,mid,petrol,manual,unknown,8.0,59248.0,7406.0,2,473984.0,70.1,0,1,0,1.0,6.8742,598000.0,2018,560066.0
hyundai,elite i20,asta 1.4 crdi,bangalore,bellahalli,ka-53,mid,diesel,manual,unknown,8.0,89392.0,11174.0,2,715136.0,67.1,0,1,1,1.0,6.765,519000.0,2018,560066.0
maruti suzuki,celerio,zxi amt,bangalore,bellahalli,ka-50,economy,petrol,automatic,unknown,4.0,60417.0,15104.2,1,241668.0,82.0,1,1,2,1.0,6.541,490000.0,2022,560064.0
honda,wr-v,1.5l i-dtec vx mt,bangalore,bellahalli,ka-34,mid,diesel,manual,unknown,8.0,70050.0,8756.2,2,560400.0,69.0,0,1,1,1.0,4.7707,537000.0,2018,560064.0
hyundai,venue,sx 1.0 turbo imt,bangalore,bellahalli,ka-51,mid,petrol,manual,unknown,5.0,51739.0,10347.8,2,258695.0,79.8,0,1,1,1.0,6.107,714000.0,2021,560066.0
renault,duster,85 ps rxl diesel,bangalore,vega city mall,ka-09,economy,diesel,manual,unknown,11.0,125755.0,11432.3,1,1383305.0,54.4,0,1,1,0.0989,6.3733,344000.0,2015,560066.0
volkswagen,vento,highline 1.0l tsi,bangalore,bellahalli,ka-04,mid,petrol,manual,unknown,6.0,72576.0,12096.0,2,435456.0,74.7,0,1,1,1.0,5.8348,670000.0,2020,560066.0
mahindra,xuv300,w8(o) turbo gdi,bangalore,bellahalli,ka-24,mid,petrol,manual,unknown,4.0,62462.0,15615.5,2,249848.0,81.8,1,1,2,1.0,5.8111,960000.0,2022,560064.0
kia,sonet,gtx plus 1.5 imt,bangalore,vega city mall,ka-09,mid,diesel,manual,unknown,3.0,122125.0,40708.3,2,366375.0,78.8,1,1,3,0.0989,6.1356,913000.0,2023,560066.0
toyota,urban cruiser hyryder,v neo drive,bangalore,bellahalli,ka-04,premium,petrol,manual,unknown,3.0,33241.0,11080.3,3,99723.0,87.7,0,1,1,1.0,4.0775,1290000.0,2023,560066.0
skoda,octavia,l&k 2.0 at,bangalore,bellahalli,ka-25,mid,petrol,automatic,unknown,5.0,73572.0,14714.4,2,367860.0,77.6,0,1,1,1.0,4.4308,1870000.0,2021,560066.0
renault,kwid,rxl,bangalore,vega city mall,ka-09,economy,petrol,manual,unknown,8.0,74196.0,9274.5,1,593568.0,68.6,0,1,1,0.0989,7.0379,278000.0,2018,560066.0
volkswagen,polo,highline plus 1.0 16 alloy,bangalore,vega city mall,ka-09,mid,petrol,manual,unknown,8.0,52566.0,6570.8,2,420528.0,70.7,0,1,0,0.0989,6.3648,591000.0,2018,560066.0
skoda,kushaq,active 1.0l tsi mt,bangalore,bellahalli,ka-02,mid,petrol,manual,unknown,4.0,75793.0,18948.2,2,303172.0,80.4,1,1,2,1.0,4.4998,755000.0,2022,560066.0
mg,hector,sharp 1.5 dct petrol,bangalore,bellahalli,ka-05,premium,petrol,automatic,unknown,6.0,41095.0,6849.2,3,246570.0,77.9,0,1,0,1.0,5.4072,986000.0,2020,560066.0
datsun,redi go,s 1.0,bangalore,bellahalli,ka-01,budget,petrol,manual,unknown,7.0,44287.0,6326.7,0,310009.0,74.6,0,1,0,1.0,4.382,229000.0,2019,560066.0
hyundai,grand i10,asta at 1.2 kappa vtvt,bangalore,bellahalli,ka-22,mid,petrol,automatic,unknown,11.0,70883.0,6443.9,2,779713.0,59.9,0,1,0,1.0,6.9632,385000.0,2015,560064.0
