brand,model,variant,color,segment_class,fuel_type,transmission,vehicle_age,odometer_reading,km_per_year,owner_count,brand_tier,age_km_interaction,ownership_trust_score,vehicle_health_score,is_high_mileage,seller_type,inspected,selling_price,year
hyundai,grand i10,sportz 1.2 kappa vtvt,unknown,mid,petrol,manual,9,23635.0,2626.1,1,2,212715.0,100,70.6,0,dealer,0,426000.0,2017
renault,kwid,rxt 1.0,unknown,economy,petrol,manual,10,47758.0,4775.8,1,1,477580.0,100,65.2,0,dealer,0,232000.0,2016
maruti suzuki,swift,zxi plus,unknown,economy,petrol,manual,8,58592.0,7324.0,1,1,468736.0,100,70.1,0,dealer,0,529000.0,2018
hyundai,grand i10,sportz (o) 1.2 kappa vtvt,unknown,mid,petrol,manual,9,36753.0,4083.7,1,2,330777.0,100,69.3,0,dealer,0,442000.0,2017
hyundai,creta,sx plus 1.6 diesel,unknown,mid,diesel,manual,10,54426.0,5442.6,1,2,544260.0,100,64.6,0,dealer,0,791000.0,2016
renault,kwid,rxl,unknown,economy,petrol,manual,10,65081.0,6508.1,1,1,650810.0,100,63.5,0,dealer,0,260000.0,2016
hyundai,eon,era +,unknown,mid,petrol,manual,9,55860.0,6206.7,1,2,502740.0,100,67.4,0,dealer,0,230000.0,2017
tata,nexon,xz diesel,unknown,economy,diesel,manual,8,41691.0,5211.4,1,1,333528.0,100,71.8,0,dealer,0,577000.0,2018
datsun,redi go,t (o),unknown,budget,petrol,manual,8,40640.0,5080.0,1,0,325120.0,100,71.9,0,dealer,0,218000.0,2018
hyundai,eon,era +,unknown,mid,petrol,manual,12,57877.0,4823.1,1,2,694524.0,100,58.2,0,dealer,0,178000.0,2014
tata,nexon,xz plus petrol,unknown,economy,petrol,manual,9,47307.0,5256.3,1,1,425763.0,100,68.3,0,dealer,0,589000.0,2017
kia,seltos,hte 1.5 diesel,unknown,mid,diesel,manual,6,108814.0,18135.7,1,2,652884.0,100,71.1,1,dealer,0,725000.0,2020
ford,ecosport,trend 1.5l petrol,unknown,mid,petrol,manual,6,48075.0,8012.5,1,2,288450.0,100,77.2,0,dealer,0,640000.0,2020
maruti suzuki,alto k10,vxi,unknown,economy,petrol,manual,12,66115.0,5509.6,1,1,793380.0,100,57.4,0,dealer,0,201000.0,2014
ford,ecosport,ambiente 1.5l petrol,unknown,mid,petrol,manual,6,51929.0,8654.8,1,2,311574.0,100,76.8,0,dealer,0,571000.0,2020
maruti suzuki,swift,lxi,unknown,economy,petrol,manual,11,113654.0,10332.2,1,1,1250194.0,100,55.6,0,dealer,0,379000.0,2015
