segment,seller type,certified,city,make,model,trim,odometer,fuel,trans,rto,selling price,locality,pincode,owner,color,age
Mass Market,S2,Yes,Bangalore,Tata,Nexon,XZ Plus,30500.0,Petrol,Manual,KA-03,759000.0,whitefield,560066.0,1.0,Red,6.0
Mass Market,S2,Yes,Bangalore,Renault,Triber,RXZ EASY-R AMT Dual Tone,26000.0,Petrol,Automatic,KA-04,656000.0,whitefield,560066.0,2.0,Beige,3.0
Mass Market,S2,Yes,Bangalore,Tata,Nexon,XZA Plus (S),51500.0,Petrol,Automatic,KA-01,787000.0,whitefield,560066.0,1.0,Grey,6.0
Mass Market,S2,Yes,Bangalore,Renault,Kwid,CLIMBER 1.0 (O),39000.0,Petrol,Manual,KA-53,404000.0,nexus shanti niketan mall,560066.0,1.0,Blue,5.0
Mass Market,S2,No,Bangalore,Tata,Zest,XMS Petrol,51500.0,Petrol,Manual,KA-01,360000.0,malleshwaram,560003.0,2.0,Red,10.0
Mass Market,S2,No,Bangalore,Hyundai,Grand i10,Asta AT 1.2 Kappa VTVT,76000.0,Petrol,Automatic,KA-01,378000.0,malleshwaram,560003.0,1.0,Red,12.0
Mass Market,S2,No,Bangalore,Tata,Tiago,Revotron XZ,85000.0,Petrol,Manual,KA-51,336000.0,bhoruka tech park,560066.0,2.0,Orange,10.0
Mass Market,S2,No,Bangalore,Renault,Kwid,CLIMBER 1.0 AMT Opt,41000.0,Petrol,Automatic,KA-41,319000.0,nexus whitefield,560066.0,1.0,Blue,7.0
Mass Market,S2,No,Bangalore,Tata,Nexon,Pure 1.2 Revotron Petrol 6MT,39000.0,Petrol,Manual,KA-05,758000.0,bhoruka tech park,560066.0,1.0,Grey,2.0
Mass Market,S2,No,Bangalore,Hyundai,Grand i10,Sportz 1.2 Kappa VTVT,94500.0,Petrol,Manual,KA-51,318000.0,bhoruka tech park,560066.0,2.0,Grey,12.0
Mass Market,S2,No,Bangalore,Maruti Suzuki,Eeco,5 STR WITH A/C+HTR,57000.0,Petrol,Manual,KA-22,393000.0,bellahalli,560064.0,1.0,Grey,6.0
Mass Market,S2,No,Bangalore,Renault,Kwid,RXT,78000.0,Petrol,Manual,KA-36,260000.0,malleshwaram,560003.0,2.0,Bronze,10.0
Mass Market,S2,Yes,Bangalore,Hyundai,Grand i10 Nios,Sportz AMT 1.2 Kappa VTVT,6500.0,Petrol,Automatic,KA-53,685000.0,nexus shanti niketan mall,560066.0,1.0,Blue,3.0
Mass Market,S1 Owned,Yes,Bangalore,MG,HECTOR,SHARP 2.0 DIESEL,125770.0,Diesel,Manual,KA-19,880000.0,bellahalli,560064.0,1.0,White,6.0
Mass Market,S1 Owned,Yes,Bangalore,Honda,City,1.5L I-VTEC ZX,40234.0,Petrol,Manual,KA-01,947195.0,bellahalli,560064.0,2.0,White,3.0
Mass Market,S1 Owned,Yes,Bangalore,Tata,Zest,XMS 90PS DIESEL,64888.0,Diesel,Manual,KA-03,291000.0,bellahalli,560064.0,2.0,Red,11.0
Mass Market,S1 Owned,Yes,Bangalore,Mahindra,XUV300,W8 (O) 1.2 PETROL,20984.0,Petrol,Manual,KA-51,936250.0,bhoruka tech park,560066.0,1.0,Red,4.0
Mass Market,S1 Owned,Yes,Bangalore,Hyundai,GRAND I10 NIOS,SPORTZ 1.2 KAPPA VTVT,27380.0,Petrol,Manual,KA-53,567100.0,bhoruka tech park,560066.0,1.0,Red,4.0
Mass Market,Direct Seller,Yes,Bangalore,Maruti Suzuki,Swift,VXI,37646.0,Petrol,Manual,KA-02,620000.0,no 36 3 1 2nd floor 19th main road jc nagar kurubarahalli,560066.0,1.0,White,6.0
Mass Market,Direct Seller,Yes,Bangalore,Toyota,Glanza,G,26350.0,Petrol,Manual,KA-41,700000.0,kengeri,560060.0,1.0,Red,6.0
