segment,seller type,certified,city,make,model,trim,odometer,fuel,trans,rto,selling price,owner,color,age
Mass Market,S5,No,Bangalore,MG,Hector,15 sharp cvt,25143.0,Petrol,Automatic,KA-19,1384000.0,1.0,White,4.0
Mass Market,S5,No,Bangalore,Skoda,Octavia,lk 20 tsi at,36188.0,Petrol,Automatic,KA-01,2474000.0,1.0,Maroon,4.0
Mass Market,S5,No,Bangalore,Skoda,Kushaq,15 style tsi at,43014.0,Petrol,Automatic,KA-03,1394000.0,1.0,White,4.0
Mass Market,S5,No,Bangalore,Skoda,Slavia,style 10 tsi at,25548.0,Petrol,Automatic,KA-55,1443000.0,1.0,Maroon,2.0
Mass Market,S5,No,Bangalore,Tata,Altroz,dca xz plus 12 p fixed,9293.0,Petrol,Automatic,KA-01,799000.0,1.0,Black,3.0
Mass Market,S5,No,Bangalore,Kia,Seltos,g 14 7dct gtx plus,48491.0,Petrol,Automatic,KA-53,1189000.0,2.0,White,6.0
Mass Market,S5,No,Bangalore,Maruti Suzuki,Xl6,smart hybrid zeta mt,41195.0,Petrol,Manual,KA-51,914000.0,1.0,Red,7.0
Mass Market,S5,No,Bangalore,Volkswagen,Taigun,15 gt plus tsi dsg,34765.0,Petrol,Automatic,KA-01,1542000.0,1.0,White,3.0
Mass Market,S5,No,Bangalore,Hyundai,Creta,1 4 turbo gdi dct sx o,29267.0,Petrol,Automatic,KA-05,1487000.0,1.0,White,4.0
Mass Market,S5,No,Bangalore,Hyundai,Creta N Line,n8 15 turbo dct,21738.0,Petrol,Automatic,KA-01,1766000.0,1.0,White,2.0
Mass Market,S5,No,Bangalore,Volkswagen,Polo,10 highline plus tsi,18397.0,Petrol,Manual,KA-04,912000.0,1.0,Black,6.0
Mass Market,S5,No,Bangalore,Maruti Suzuki,Fronx,delta plus ags,16526.0,Petrol,Automatic,KA-03,859000.0,1.0,White,3.0
Mass Market,S5,No,Bangalore,Mahindra,Xuv500,xuv 500 fwd w7 mt,38277.0,Diesel,Manual,KA-05,984000.0,2.0,White,8.0
Mass Market,S5,No,Bangalore,Hyundai,Grand I10 Nios,sportz amt,17553.0,Petrol,Automatic,KA-53,657000.0,1.0,Black,4.0
Mass Market,S5,No,Bangalore,Toyota,Urban Cruiser Hyryder,e mt,27741.0,Petrol,Manual,KA-32,998000.0,1.0,White,1.0
Mass Market,S5,No,Bangalore,Volkswagen,Polo,12 mpi highline mt,30963.0,Petrol,Manual,KA-04,618000.0,2.0,Black,8.0
Mass Market,S5,No,Bangalore,Jeep,Compass,limited o 44 at,24497.0,Diesel,Automatic,KA-05,2177000.0,1.0,White,4.0
Mass Market,S5,No,Bangalore,Jeep,Compass,model s o2 at,46446.0,Petrol,Automatic,KA-05,1785000.0,1.0,White,4.0
Mass Market,S5,No,Bangalore,MG,Astor,zs vti tech savvy cvt,35473.0,Petrol,Automatic,KA-51,1094000.0,1.0,White,4.0
Mass Market,S5,No,Bangalore,Mahindra,Xuv700,ax5 pet at 5 seater,36359.0,Petrol,Automatic,KA-03,1592000.0,1.0,Maroon,3.0
Mass Market,S5,No,Bangalore,Volkswagen,Polo,10 highline plus mpi,48047.0,Petrol,Manual,KA-01,608000.0,2.0,Black,8.0
Mass Market,S5,No,Bangalore,Volkswagen,Taigun,15 gt plus tsi dsg,19923.0,Petrol,Automatic,KA-01,1492000.0,1.0,White,3.0
Mass Market,S5,No,Bangalore,Hyundai,Venue,10 turbo dct sx plus,40175.0,Petrol,Automatic,KA-03,848000.0,1.0,White,7.0
Mass Market,S5,No,Bangalore,Hyundai,Creta,15 crdi ex mt,30885.0,Diesel,Manual,KA-51,1194000.0,1.0,White,4.0
Mass Market,S5,No,Bangalore,Tata,Tiago,xt mt,6061.0,Petrol,Manual,KA-41,457000.0,2.0,Black,6.0
Mass Market,S5,No,Bangalore,Jeep,Compass,limited o at,37996.0,Petrol,Automatic,KA-01,1668000.0,1.0,White,5.0
Mass Market,S5,No,Bangalore,Maruti Suzuki,Celerio,zxi ags,21803.0,Petrol,Automatic,KA-04,568000.0,1.0,Black,4.0
Mass Market,S5,No,Bangalore,Kia,Sonet,5mt hte o mt,7308.0,Petrol,Manual,KA-05,762000.0,1.0,White,2.0
Mass Market,S5,No,Bangalore,Hyundai,I20,sportz ivt,20754.0,Petrol,Automatic,KA-53,847000.0,1.0,Black,2.0
Mass Market,S5,No,Bangalore,Honda,Amaze,rde vx cvt,10698.0,Petrol,Automatic,KA-05,882000.0,1.0,Maroon,2.0
Mass Market,S5,No,Bangalore,Hyundai,Creta N Line,n8 15 turbo dct,21738.0,Petrol,Automatic,KA-41,1766000.0,1.0,White,2.0
Mass Market,S5,No,Bangalore,Maruti Suzuki,Brezza,vxi mt,12147.0,Petrol,Manual,KA-03,947000.0,1.0,White,1.0
Mass Market,S5,No,Bangalore,Hyundai,Grand I10 Nios,sportz 12 amt,12271.0,Petrol,Automatic,KA-52,712000.0,1.0,Black,2.0
Mass Market,S5,No,Bangalore,Mahindra,Thar,lx d at 4wd 4s ht,26000.0,Diesel,Automatic,KA-02,1578000.0,1.0,White,4.0
Luxury,S5,No,Bangalore,BMW,X1,s drive20i x line,43491.0,Petrol,Automatic,KA-53,3067000.0,1.0,White,4.0
Mass Market,S5,No,Bangalore,Kia,Seltos,15 htx plus mt,22746.0,Diesel,Manual,KA-01,1676000.0,1.0,White,1.0
Mass Market,S5,No,Bangalore,Toyota,Innova Hycross,hybrid zx opt 7s,27846.0,Petrol,Automatic,KA-15,3442000.0,1.0,White,3.0
Mass Market,S5,No,Bangalore,Mahindra,Xuv700,ax7 7s at,36296.0,Petrol,Automatic,KA-05,1727000.0,1.0,White,4.0
Mass Market,S5,No,Bangalore,Toyota,Urban Cruiser Hyryder,e mt,27741.0,Petrol,Manual,KA-32,1028000.0,1.0,White,1.0
Mass Market,S5,No,Bangalore,Mahindra,Thar,lx 4wd ht,34480.0,Diesel,Manual,KA-01,1442000.0,1.0,White,4.0
Mass Market,S5,No,Bangalore,Kia,Sonet,10 turbo 7dct gtx plus,27546.0,Petrol,Automatic,KA-03,1148000.0,1.0,White,3.0
Mass Market,S5,No,Bangalore,Renault,Kwid,rxlo mt 10 sce,20003.0,Petrol,Manual,KA-04,374000.0,2.0,Black,3.0
Mass Market,S5,No,Bangalore,Ford,Ecosport,titanium o mt,71622.0,Diesel,Manual,KA-03,586000.0,1.0,White,12.0
Mass Market,S5,No,Bangalore,Hyundai,Tucson,20 platinum at,16667.0,Petrol,Automatic,KA-01,2176000.0,1.0,White,3.0
Mass Market,S5,No,Bangalore,Kia,Carens,15 6mt prestige plus 7,44413.0,Diesel,Manual,KA-51,1374000.0,1.0,White,4.0
Mass Market,S5,No,Bangalore,Kia,Carnival,limousine 7s at,80220.0,Diesel,Automatic,KA-52,2943000.0,1.0,White,4.0
Mass Market,S5,No,Bangalore,Hyundai,Creta,1 4 turbo gdi dct sx o,29267.0,Petrol,Automatic,KA-05,1548000.0,1.0,White,4.0
Mass Market,S5,No,Bangalore,Kia,Sonet,g 10 turbo 7dct gtx,27390.0,Petrol,Automatic,KA-01,916000.0,2.0,White,6.0
Mass Market,S5,No,Bangalore,Kia,Seltos,g15 6 mt htk,39026.0,Petrol,Manual,KA-05,876000.0,2.0,White,7.0
Mass Market,S5,No,Bangalore,Volkswagen,Polo,10 highline plus tsi,40664.0,Petrol,Manual,KA-02,906000.0,1.0,Black,5.0
Mass Market,S5,No,Bangalore,Kia,Seltos,g 14 7dct gtx plus,48616.0,Petrol,Automatic,KA-53,1189000.0,2.0,White,6.0
Mass Market,S5,No,Bangalore,Mahindra,Xuv300,gasoline w6 mt,36111.0,Petrol,Manual,KA-01,698000.0,1.0,White,7.0
Mass Market,S5,No,Bangalore,Ford,Freestyle,12 titanium mt,11577.0,Petrol,Manual,KA-51,634000.0,1.0,Black,5.0
Mass Market,S5,No,Bangalore,Honda,Amaze,12 v cvt,34507.0,Petrol,Automatic,KA-04,598000.0,2.0,Maroon,8.0
Mass Market,S5,No,Bangalore,Hyundai,Alcazar,15 prestige exe 7s mt,44277.0,Diesel,Manual,KA-01,1499000.0,1.0,White,4.0
Mass Market,S5,No,Bangalore,Tata,Nexon,xz 12 rtn,44549.0,Petrol,Manual,KA-05,696000.0,1.0,White,7.0
Mass Market,S5,No,Bangalore,Honda,Jazz,12 v cvt,37109.0,Petrol,Automatic,KA-53,564000.0,2.0,Black,8.0
Mass Market,S5,No,Bangalore,Hyundai,Creta,sx executive,36826.0,Petrol,Manual,KA-53,1074000.0,2.0,White,5.0
