brand,model,vehicle_age,odometer_reading,fuel_type,transmission,segment_class,selling_price
maruti suzuki,ciaz,5.0,17958.0,petrol,manual,economy,829000.0
mahindra,xuv500,11.0,105537.0,diesel,manual,economy,810000.0
honda,brio,13.0,137017.0,petrol,manual,economy,280000.0
toyota,glanza,1.0,1142.0,petrol,automatic,economy,931000.0
hyundai,verna,11.0,63855.0,petrol,manual,economy,520000.0
hyundai,verna,11.0,158900.0,diesel,manual,economy,500000.0
hyundai,aura,6.0,48020.0,petrol,manual,economy,509000.0
skoda,kushaq,3.0,92500.0,petrol,manual,economy,982000.0
honda,jazz,4.0,55000.0,petrol,manual,economy,685000.0
maruti suzuki,alto 800,12.0,47000.0,petrol,manual,economy,241000.0
maruti suzuki,swift dzire,13.0,89996.0,petrol,manual,economy,305000.0
renault,kwid,8.0,62319.0,petrol,manual,economy,294790.0
kia,seltos,6.0,108814.0,diesel,manual,economy,725000.0
maruti suzuki,ertiga,5.0,46405.0,cng,manual,economy,980000.0
maruti suzuki,baleno,9.0,105676.0,petrol,automatic,economy,427412.0
maruti suzuki,swift,9.0,46243.0,petrol,manual,economy,470828.0
mahindra,kuv 100 nxt,8.0,31309.0,petrol,manual,economy,455000.0
skoda,fabia,15.0,78660.0,petrol,manual,economy,140000.0
ford,ecosport,12.0,123629.0,diesel,manual,economy,350000.0
maruti suzuki,ertiga,14.0,98272.0,diesel,manual,economy,520000.0
skoda,fabia,15.0,78660.0,petrol,manual,economy,140000.0
hyundai,venue,7.0,24555.0,petrol,automatic,economy,850000.0
mahindra,tuv300,9.0,128500.0,diesel,manual,economy,511000.0
maruti suzuki,ertiga,13.0,111307.0,petrol,manual,economy,500000.0
tata,tiago,4.0,20500.0,petrol,manual,economy,610000.0
volkswagen,polo,8.0,52566.0,petrol,manual,economy,591398.0
maruti suzuki,dzire,8.0,59845.0,petrol,manual,economy,600000.0
maruti suzuki,s cross,6.0,68275.0,petrol,automatic,economy,770000.0
hyundai,xcent,10.0,59639.0,petrol,manual,economy,450000.0
hyundai,i10,15.0,109545.0,petrol,automatic,economy,210000.0
mahindra,xuv500,5.0,77116.0,diesel,manual,economy,1237500.0
jeep,compass,7.0,49172.0,diesel,manual,economy,1310000.0
hyundai,creta,8.0,49000.0,petrol,manual,economy,867000.0
honda,brio,13.0,157909.0,petrol,manual,economy,240000.0
hyundai,i10,15.0,62392.0,petrol,manual,economy,200000.0
nissan,micra active,13.0,129826.0,petrol,manual,economy,220000.0
nissan,magnite,3.0,55742.0,petrol,manual,economy,704463.0
nissan,micra active,10.0,77000.0,petrol,manual,economy,332000.0
hyundai,creta,7.0,48174.0,petrol,manual,economy,925000.0
hyundai,creta,4.0,30094.0,petrol,manual,economy,1100000.0
maruti suzuki,brezza,2.0,18387.0,petrol,manual,economy,1057500.0
hyundai,exter,2.0,4028.0,petrol,manual,economy,700000.0
